Linhas;Mês;Fluxo de Passageiros;MDU;MDO;MAX;Ano
1;1;17163;659;252;725;2023
1;2;17057;757;255;792;2023
1;3;20324;803;265;828;2023
1;4;18701;808;262;830;2023
1;5;20998;804;263;829;2023
1;6;19720;785;266;858;2023
1;7;19187;735;265;770;2023
1;8;21408;802;255;835;2023
1;9;20269;802;277;871;2023
1;10;19754;802;253;877;2023
1;11;19241;802;292;876;2023
1;12;19243;802;315;877;2023
2;1;9831;390;208;446;2023
2;2;10104;461;231;490;2023
2;3;12263;494;241;520;2023
2;4;10961;492;219;512;2023
2;5;12543;493;243;512;2023
2;6;11713;478;246;521;2023
2;7;11490;453;243;477;2023
2;8;13343;512;245;541;2023
2;9;12279;521;248;540;2023
2;10;12113;523;248;551;2023
2;11;11717;535;245;557;2023
2;12;11319;466;230;548;2023
3;1;19282;741;300;817;2023
3;2;19249;844;321;888;2023
3;3;22571;888;311;914;2023
3;4;20602;886;296;973;2023
3;5;23125;880;321;901;2023
3;6;21868;859;345;932;2023
3;7;21327;817;303;844;2023
3;8;23646;883;301;925;2023
3;9;22305;911;318;941;2023
3;10;21584;897;293;958;2023
3;11;21516;925;405;949;2023
3;12;21710;845;397;952;2023
15;1;1505;59;20;66;2023
15;2;1531;69;21;76;2023
15;3;1692;72;21;74;2023
15;4;1653;72;22;74;2023
15;5;1886;73;23;75;2023
15;6;1732;73;18;77;2023
15;7;1653;68;17;71;2023
15;8;1969;75;22;78;2023
15;9;1827;76;23;79;2023
15;10;1718;75;19;79;2023
15;11;1714;77;24;79;2023
15;12;1670;70;22;80;2023
1;1;24376;937;365;1043;2024
1;2;25664;1075;418;1123;2024
1;3;27990;1126;364;1157;2024
1;4;29039;1124;382;1149;2024
1;5;28282;1113;364;1145;2024
1;6;27390;1096;394;1150;2024
1;7;26963;1016;400;1056;2024
1;8;29153;1105;359;1165;2024
1;9;28679;1131;422;1181;2024
1;10;30364;1130;430;1180;2024
1;11;28056;1150;420;1191;2024
1;12;25874;1039;431;1195;2024
2;1;14082;566;187;643;2024
2;2;15275;665;230;708;2024
2;3;16620;695;190;722;2024
2;4;17481;696;201;719;2024
2;5;16844;693;184;720;2024
2;6;16388;680;217;712;2024
2;7;16067;632;210;670;2024
2;8;17641;693;186;729;2024
2;9;17213;704;212;733;2024
2;10;18450;709;213;743;2024
2;11;16774;721;209;753;2024
2;12;15204;639;222;744;2024
3;1;24376;939;372;1060;2024
3;2;25154;1049;430;1088;2024
3;3;27064;1086;352;1125;2024
3;4;27976;1080;385;1113;2024
3;5;27290;1071;358;1103;2024
3;6;26587;1060;395;1109;2024
3;7;26109;988;382;1033;2024
3;8;28190;1065;362;1118;2024
3;9;27501;1086;406;1145;2024
3;10;29216;1081;436;1120;2024
3;11;26948;1097;418;1142;2024
3;12;25150;1006;426;1140;2024
15;1;2561;103;34;120;2024
15;2;2817;123;37;133;2024
15;3;3170;132;37;136;2024
15;4;3359;133;37;136;2024
15;5;3261;132;36;138;2024
15;6;3119;131;35;136;2024
15;7;3089;122;35;129;2024
15;8;3490;136;36;140;2024
15;9;3315;137;28;141;2024
15;10;3673;139;48;144;2024
15;11;3376;144;44;147;2024
15;12;3103;129;44;147;2024
